,Power,Time
0,0.13502830188679246,0
1,0.13287924528301887,1
2,0.13039716981132077,2
3,0.13110094339622644,3
4,0.128961320754717,4
5,0.12897075471698116,5
6,0.1246990566037736,6
7,0.12220943396226418,7
8,0.12220943396226418,8
9,0.12397641509433965,9
10,0.23972924528301892,10
11,0.25125188679245286,11
12,0.25690094339622643,12
13,0.2571811320754717,13
14,0.25690094339622643,14
15,0.2571811320754717,15
16,0.25690094339622643,16
17,0.25662075471698115,17
18,0.25634056603773586,18
19,0.25690094339622643,19
